
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-18 15:28:42.0961569 1613662122.096157074 1613662122.096074343 +0.000082731, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:43.0963867 1613662123.096386671 1613662123.096280098 +0.000106573, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:44.0966739 1613662124.096673965 1613662124.096543312 +0.000130653, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:45.0969443 1613662125.096944332 1613662125.096789598 +0.000154734, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:46.0971793 1613662126.097179413 1613662126.097000599 +0.000178814, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:47.0974205 1613662127.097420454 1613662127.097217798 +0.000202656, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:48.0976439 1613662128.097644091 1613662128.097417355 +0.000226736, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:49.0978631 1613662129.097863197 1613662129.097612381 +0.000250816, ltcy: 0.09 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:50.0981030 1613662130.098103046 1613662130.097828388 +0.000274658, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:51.0982969 1613662131.098296881 1613662131.097998142 +0.000298738, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:52.0985473 1613662132.098547459 1613662132.098222971 +0.000324249, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:53.0987386 1613662133.098738670 1613662133.098392010 +0.000346661, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:54.0989598 1613662134.098959923 1613662134.098589182 +0.000370741, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:55.0991468 1613662135.099146843 1613662135.098757029 +0.000389814, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:56.0994272 1613662136.099427223 1613662136.099036217 +0.000391006, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:57.0997140 1613662137.099714041 1613662137.099321842 +0.000392199, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:58.0998860 1613662138.099886179 1613662138.099492788 +0.000393152, ltcy: 0.13 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:59.1000871 1613662139.100087166 1613662139.099692822 +0.000394106, ltcy: 0.15 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:29:00.1002434 1613662140.100243568 1613662140.099848032 +0.000395536, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
